URL,Product Name,Price (in ₹),Prodcut ratings,Number of reviews
www.amazon.in/Pinklips-Shopping-Rafael-Tennis-Backpack/dp/B09V2KS3RG,Pinklips Shopping Rafael Nadal Tennis Lover Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_11,"1,299",4 Stars & Up,"1,736"
www.amazon.in/Daniel-Clarion-DC-102-SeaGreen-Black-Resistance-Backpack/dp/B0BLCR8DYM,"Daniel Clarion DC-102-SeaGreen-Black Water Resistance Bag For Men,Women,gilrs,boys/college 30 L Laptop Backpack",499,3 Stars & Up,39
www.amazon.in/Pinklips-Shopping-Federer-Tennis-Backpack/dp/B0B6FR5SDL,Pinklips Shopping Roger Federer Tennis Lover Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_035,999,2 Stars & Up,"1,235"
www.amazon.in/Pinklips-Shopping-Federer-Tennis-Backpack/dp/B09V2LDZLN,Pinklips Shopping Roger Federer Tennis Lover Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_08,649,1 Star & Up,317
www.amazon.in/CALANDIS-Tennis-Handbag-Portable-Racquet/dp/B0BSNNQ81Y,CALANDIS Tennis Handbag Portable Racquet Covers Sport Bag Tote Tennis Racket Bag White,399,3.8 out of 5 stars,755
www.amazon.in/CALANDIS-Tennis-Handbag-Portable-Racquet/dp/B0BSNMGQN5,CALANDIS Tennis Handbag Portable Racquet Covers Sport Bag Tote Tennis Racket Bag Pink,788,4.2 out of 5 stars,"10,173"
www.amazon.in/CALANDIS-Tennis-Holder-Pickleballs-Training/dp/B0BSNP8QVJ,CALANDIS Tennis Ball Holder Pickleballs Waist Hip Training Bag Pouch Women Men Sack Black,"3,399",3.4 out of 5 stars,"1,780"
www.amazon.in/CALANDIS-Tennis-Holder-Pickleballs-Training/dp/B0BSNN946F,CALANDIS Tennis Ball Holder Pickleballs Waist Hip Training Bag Pouch Women Men Sack White,349.,4.1 out of 5 stars,"5,751"
www.amazon.in/IVELECT-Waterproof-Backpack-Resistance-Badminton/dp/B0BFQ2YG6Y,IVELECT Waterproof Tennis Racket Backpack Abrasion Resistance Badminton Bag Rose Red,349.,3.7 out of 5 stars,"5,212"
www.amazon.in/Waterproof-Backpack-Abrasion-Resistance-Badminton/dp/B09ZKYJZWV,Loom Tree Waterproof Tennis Racket Backpack Abrasion Resistance Badminton Bag Rose Red,349.,4.1 out of 5 stars,"7,204"
www.amazon.in/IVELECT-Waterproof-Backpack-Resistance-Badminton/dp/B0BFQ2ZR1N,IVELECT Waterproof Tennis Racket Backpack Abrasion Resistance Badminton Bag Orange,349.,4.4 out of 5 stars,433
www.amazon.in/Calandis-Waterproof-Backpack-Resistance-Badminton/dp/B09ZNT44YF,CALANDIS Waterproof Tennis Racket Backpack Abrasion Resistance Badminton Bag Purple,349.,3.9 out of 5 stars,275
www.amazon.in/IVELECT-Badminton-Shoulder-Outdoor-Multi-Purpose/dp/B0BFQ36669,IVELECT Sport Badminton Racket Bag Single Shoulder Outdoor Multi-Purpose Pack Yellow,349,4.1 out of 5 stars,97
